participant,task_type,repetition,condition,latency,trial_order
1,jebsen_taylor,1.0,1.0,200ms,1
1,jebsen_taylor,1.0,2.0,50ms,2
1,jebsen_taylor,1.0,3.0,150ms,3
1,jebsen_taylor,1.0,4.0,100ms,4
1,jebsen_taylor,1.0,5.0,0ms,5
1,boxblock,2.0,1.0,150ms,6
1,boxblock,2.0,2.0,200ms,7
1,boxblock,2.0,3.0,50ms,8
1,boxblock,2.0,4.0,100ms,9
1,boxblock,2.0,5.0,0ms,10
2,,,,,1
2,,,,,2
2,,,,,3
2,,,,,4
2,,,,,5
2,,,,,6
2,,,,,7
2,,,,,8
2,,,,,9
2,,,,,10
3,jebsen_taylor,1.0,1.0,200ms,1
3,jebsen_taylor,1.0,2.0,0ms,2
3,jebsen_taylor,1.0,3.0,50ms,3
3,jebsen_taylor,1.0,4.0,150ms,4
3,jebsen_taylor,1.0,5.0,100ms,5
3,boxblock,2.0,1.0,50ms,6
3,boxblock,2.0,2.0,150ms,7
3,boxblock,2.0,3.0,100ms,8
3,boxblock,2.0,4.0,0ms,9
3,boxblock,2.0,5.0,200ms,10
4,jebsen_taylor,1.0,1.0,50ms,1
4,jebsen_taylor,1.0,2.0,0ms,2
4,jebsen_taylor,1.0,3.0,200ms,3
4,jebsen_taylor,1.0,4.0,100ms,4
4,jebsen_taylor,1.0,5.0,150ms,5
4,boxblock,2.0,1.0,200ms,6
4,boxblock,2.0,2.0,50ms,7
4,boxblock,2.0,3.0,100ms,8
4,boxblock,2.0,4.0,0ms,9
4,boxblock,2.0,5.0,150ms,10
5,jebsen_taylor,1.0,1.0,150ms,1
5,jebsen_taylor,1.0,2.0,200ms,2
5,jebsen_taylor,1.0,3.0,0ms,3
5,jebsen_taylor,1.0,4.0,100ms,4
5,jebsen_taylor,1.0,5.0,50ms,5
5,boxblock,2.0,1.0,150ms,6
5,boxblock,2.0,2.0,0ms,7
5,boxblock,2.0,3.0,200ms,8
5,boxblock,2.0,4.0,50ms,9
5,boxblock,2.0,5.0,100ms,10
6,boxblock,1.0,1.0,150ms,1
6,boxblock,1.0,2.0,100ms,2
6,boxblock,1.0,3.0,200ms,3
6,boxblock,1.0,4.0,0ms,4
6,boxblock,1.0,5.0,50ms,5
6,jebsen_taylor,2.0,1.0,100ms,6
6,jebsen_taylor,2.0,2.0,50ms,7
6,jebsen_taylor,2.0,3.0,200ms,8
6,jebsen_taylor,2.0,4.0,150ms,9
6,jebsen_taylor,2.0,5.0,0ms,10
7,,,,,1
7,,,,,2
7,,,,,3
7,,,,,4
7,,,,,5
7,,,,,6
7,,,,,7
7,,,,,8
7,,,,,9
7,,,,,10
8,,,,,1
8,,,,,2
8,,,,,3
8,,,,,4
8,,,,,5
8,,,,,6
8,,,,,7
8,,,,,8
8,,,,,9
8,,,,,10
9,,,,,1
9,,,,,2
9,,,,,3
9,,,,,4
9,,,,,5
9,,,,,6
9,,,,,7
9,,,,,8
9,,,,,9
9,,,,,10
10,boxblock,1.0,1.0,150ms,1
10,boxblock,1.0,2.0,50ms,2
10,boxblock,1.0,3.0,200ms,3
10,boxblock,1.0,4.0,0ms,4
10,boxblock,1.0,5.0,100ms,5
10,jebsen_taylor,2.0,1.0,200ms,6
10,jebsen_taylor,2.0,2.0,50ms,7
10,jebsen_taylor,2.0,3.0,100ms,8
10,jebsen_taylor,2.0,4.0,150ms,9
10,jebsen_taylor,2.0,5.0,0ms,10
11,jebsen_taylor,1.0,1.0,200ms,1
11,jebsen_taylor,1.0,2.0,0ms,2
11,jebsen_taylor,1.0,3.0,150ms,3
11,jebsen_taylor,1.0,4.0,50ms,4
11,jebsen_taylor,1.0,5.0,100ms,5
11,boxblock,2.0,1.0,0ms,6
11,boxblock,2.0,2.0,50ms,7
11,boxblock,2.0,3.0,200ms,8
11,boxblock,2.0,4.0,150ms,9
11,boxblock,2.0,5.0,100ms,10
12,boxblock,1.0,1.0,200ms,1
